g,c,b,e
ALG6,1,63833260,63904233
TIMM22,17,900356,905390
SEC61A1,3,127771211,127790526
DHX34,19,47852537,47885961
CCDC28A,6,139094656,139114456
DAW1,2,228736326,228789026
AGPAT6,8,41435706,41482520
ERC2-IT1,3,55691242,55693497
ZCRB1,12,42705887,42719932
PCDHB12,5,140588290,140591698
PCDHB11,5,140579347,140582618
PCDHB10,5,140571951,140575213
DHX29,5,54552072,54603521
L3HYPDH,14,59939405,59951073
SFXN5,2,73169164,73298965
MAPK1IP1L,14,55518361,55536912
CAPN13,2,30945637,31030311
CCZ1B,7,6838565,6865926
OR14C36,1,248512076,248513015
OR5T2,11,55999581,56000661
GOLGA6L1,15,22736245,22746002
CYP3A7,7,99302659,99332819
CYP2B6,19,41497203,41524301
IFNG,12,68548549,68553521
CYP1A2,15,75041183,75048941
MAT1A,10,82031575,82049434
IGFBP2,2,217498126,217529158
IL2,4,123372625,123377650
FCGR1A,1,149754249,149764074
LOR,1,153232178,153234600
IFNA13,9,21367370,21368075
FAM86C2P,11,67559237,67572807
LOC649330,1,12907235,12908237
CCL1,17,32687346,32690252
PIGB,15,55611132,55647846
MIR208B,14,23887195,23887272
SPNS3,17,4337218,4391499
SND1-IT1,7,127637561,127640130
APOB,2,21224300,21266945
CNPY4,7,99717264,99723128
SEMA3D,7,84624871,84751247
SCUBE3,6,35182189,35218609
CDHR3,7,105603656,105676877
DDX10,11,108535815,108811648
DDX5,17,62494373,62502484
DLX2,2,172964165,172967478
DAP,5,10679341,10761387
DFFB,1,3773844,3801993
WWC3,X,9983794,10112518
DENND2A,7,140218219,140302342
CCDC173,2,170501934,170550931
ESPNL,2,239008950,239041928
OR8K5,11,55926869,55927793
ME1,6,83920109,84140938
MIR941-2,20,62551084,62551313
MIR941-1,20,62550777,62550894
SNORD99,1,28905254,28905334
RNU11,1,28975111,28975246
YARS2,12,32899477,32908887
SPINK9,5,147715121,147719412
LOC391322,22,24373116,24374043
TOPAZ1,3,44283377,44373590
ZAR1L,13,32877907,32886091
TRAF4,17,27071022,27077976
ZDHHC17,12,77157853,77247474
MED13L,12,116396380,116714991
SNORD85,1,31441009,31441084
ENGASE,17,77071018,77084685
LOC90834,22,50171537,50173958
KIAA0895L,16,67209504,67217883
BATF3,1,212859758,212873327
PXMP2,12,133264191,133281577
TTC23L,5,34839268,34899564
ZMAT2,5,140080031,140086239
THAP6,4,76439653,76455236
CCDC13,3,42749873,42814745
SPICE1,3,113161564,113234034
IL20RB,3,136676706,136729926
EFHB,3,19920965,19975706
CCKBR,11,6280903,6293357
MT1M,16,56666533,56667898
S100A7A,1,153388999,153395701
NLRP14,11,7041699,7092757
NLRP10,11,7981155,7985059
NLRP9,19,56219797,56249768
NCKAP5L,12,50184928,50222208
LOC100996758,10,47086724,47088173
CSN1S2BP,4,70999320,71012421
VN1R2,19,53761544,53762855
MORN3,12,122089292,122107560
LRRC4B,19,51020149,51071302
ZSCAN5B,19,56701057,56704421
NPFF,12,53900473,53901422
USO1,4,76649828,76735366
C3orf67,3,58727736,59035715
MIR148A,7,25989538,25989606
MIR629,15,70371710,70371807
MIR302C,4,113569518,113569586
MIR302B,4,113569640,113569713
MIR365A,16,14403141,14403228
RNF186,1,20140521,20141771
C10orf91,10,134258713,134261825
FUT11,10,75532048,75535976
ZFP69B,1,40916336,40929390
SIGLEC1,20,3667616,3687775
TANC2,17,61086897,61505067
LIN7B,19,49617617,49621717
PERP,6,138409641,138428660
CEP70,3,138213186,138313129
TTBK1,6,43211221,43255997
CKMT1A,15,43985083,43991420
SERPINE3,13,51915167,51936239
ZNF552,19,58318449,58326281
MOB3B,9,27325206,27529850
NIPAL2,8,99204386,99306621
TBPL2,14,55880929,55907263
LCN6,9,139638468,139642980
OR13F1,9,107266543,107267503
ARGFX,3,121286777,121309469
MIR1238,19,10662797,10662880
MIR320B2,1,224444705,224444843
DEFB128,20,168526,170264
DEFB116,20,29891014,29896388
DEFB113,6,49936389,49937338
WFDC9,20,44236577,44259907
WFDC11,20,44277201,44298878
TMIE,3,46742822,46752413
ANKRD18A,9,38571360,38620360
GLIS1,1,53971905,54199877
CCDC152,5,42756919,42802539
OR1I1,19,15197876,15198944
C16orf70,16,67143914,67182442
KCNK15,20,43374487,43380954
PMAIP1,18,57567191,57571538
OSGEPL1,2,190611385,190627924
NECAB1,8,91803920,91971630
SSB,2,170655321,170668571
ZW10,11,113603904,113644485
MIR520E,19,54178964,54179051
HRNR,1,152184551,152196672
CALCB,11,15095145,15100177
CACNG1,17,65040651,65052911
CACNA2D1,7,81579417,82073031
F5,1,169481191,169555769
KCNA1,12,5019072,5027422
FAM19A2,12,62102028,62586620
B4GALNT4,11,369794,382117
LCN12,9,139846767,139849949
SLC9C2,1,173469603,173572233
OTUD7B,1,149912228,149982686
SHF,15,45459411,45493373
DCAF15,19,14063318,14072256
SAMD1,19,14199228,14201232
TP53I13,17,27895738,27900175
SLC6A18,5,1225469,1246304
C13orf45,13,76445173,76457948
RPS15AP10,1,46111451,46112357
OR8B4,11,124293837,124294767
GALNTL6,4,172734574,173961558
PTCHD3,10,27687116,27703297
NPAS2,2,101436612,101613287
CCDC125,5,68576518,68616410
ZNF800,7,127010353,127032767
AGR3,7,16899029,16921613
CHMP4B,20,32399109,32442173
NLRP8,19,56459197,56499995
NLRP13,19,56407310,56443702
FLJ10038,15,50641134,50647076
SKINTL,1,48567386,48648100
NDFIP2-AS1,13,80051498,80055366
LOC221122,11,44995452,44999578
LINC00032,9,27245681,27282791
MIR600HG,9,125871772,125877756
CRYM-AS1,16,21312169,21329912
FLJ30679,16,86588925,86590905
LOC116437,12,131649555,131697476
VPS13A-AS1,9,79791671,79792833
MGC16025,2,240115026,240117153
GLIS3-AS1,9,3898645,3901248
LOC100240735,12,54472622,54475607
