g,c,b,e
MMP21,10,127455026,127464390
MIR129-1,7,127847924,127847996
LOC100996385,5,175476680,175489058
TFF3,21,43731776,43735706
TFAP4,16,4307186,4323001
SNORD58C,18,47015604,47015694
SNORD58B,18,47018033,47018099
TPRG1L,1,3541555,3546694
SYT10,12,33528347,33592754
EXOC8,1,231468481,231473578
LENG9,19,54972978,54974894
CCDC150,2,197504355,197597530
MIR4695,1,19209695,19209769
SECTM1,17,80278899,80291921
MIOX,22,50925212,50928750
SPOCD1,1,32256024,32281580
KLF17,1,44584521,44600809
CYP4F22,19,15619335,15663128
MEG8,14,101361106,101373305
MBD3L2,19,7049350,7051746
OR4Q3,14,20215586,20216528
HS3ST6,16,1961464,1968231
RGS21,1,192286121,192336414
ATXN3L,X,13336767,13338518
MIR363,X,133303407,133303482
MIR30E,1,41220026,41220118
MIR99B,19,52195864,52195934
DPY19L2,12,63952692,64062354
B2M,15,45003684,45010357
SLC1A1,9,4490426,4587469
PITX3,10,103989945,104001231
PCDHB14,5,140601897,140605860
TIMP4,3,12194567,12200851
TIMP2,17,76849058,76921472
DDX1,2,15731744,15771235
UGT1A4,2,234627437,234681945
TRIO,5,14143828,14509458
TBCB,19,36605887,36616849
ANKK1,11,113258512,113271140
ZNF598,16,2047652,2059822
C17orf103,17,21142183,21156578
CCDC175,14,59971784,60043549
CYBA,16,88709696,88717492
PSMC1,14,90722893,90738966
PSMB10,16,67968406,67970780
DCDC1,11,31284170,31391357
NMUR1,2,232387870,232395182
MTF1,1,38275238,38325292
SLC9A5,16,67282854,67306094
LPCAT3,12,7085346,7125842
GMEB2,20,62218954,62258381
OSTF1,9,77703397,77762114
GNG12,1,68167148,68299155
PPP5D1,19,46984044,47104457
IGSF23,19,45116939,45140081
KRBOX1,3,42977833,42984283
PRSS46,3,46761072,46777921
DEFB4B,8,7272384,7274354
SOD3,4,24797084,24802467
KCNK5,6,39156746,39197251
MRPL53,2,74699084,74699942
EGOT,3,4790877,4793274
SEC1P,19,49141295,49185502
MESTIT1,7,130126897,130131013
EMBP1,1,121260909,121313686
LOC729176,6,147122804,147124960
ZNF733P,7,62751669,62764434
ADAM21P1,14,70712469,70714518
ZDHHC8P1,22,23732791,23744799
GTF2IRD1P1,7,66274979,66309813
PPIEL,1,39987951,40025370
PTCHD3P1,10,29698500,29711299
CHIAP2,1,111823145,111828730
UOX,1,84830640,84863576
GUCY1B2,13,51568646,51640293
PMCHL2,5,70671611,70681820
PMCHL1,5,22142460,22152379
LOC389705,9,14993324,15019722
CSN1S2AP,4,70933102,70950988
PWAR5,15,25230006,25233379
NBPF22P,5,85578261,85593365
LOC93432,7,141811548,141843783
POM121L9P,22,24647588,24661492
LOC728613,5,1597671,1634120
ZNF525,19,53868967,53889841
FAHD2CP,2,96676298,96688884
SNHG15,7,45022626,45026259
SLC26A4,7,107301079,107358252
PDE6A,5,149237518,149324356
CLCA1,1,86934525,86965974
NEAT1,11,65190268,65194003
LOC100288778,12,87983,91263
SLC26A4-AS1,7,107296960,107302243
NHEG1,6,137303295,137314368
NBEAP1,15,20874796,20961480
RASAL2-AS1,1,178060642,178063128
FLJ31356,2,28607275,28617539
BRD3,9,136895445,136933141
RASA3,13,114747193,114898095
SNORD115-34,15,25477533,25477615
SNORD115-35,15,25479393,25479475
PRICKLE2,3,64079525,64211131
IFNL2,19,39759156,39760732
LINC00657,20,34633539,34638882
RHPN1-AS1,8,144448792,144450805
MARK1,1,220701567,220837799
KRT24,17,38854242,38860002
COLGALT1,19,17666510,17693965
NOL9,1,6581406,6614658
PRKRIP1,7,102036803,102067129
LRRK1,15,101459459,101610317
BBS1,11,66278118,66301084
WWC2,4,184020462,184241929
SNORD38A,1,45243513,45243584
ADAM5,8,39172181,39260375
MT1L,16,56651372,56652730
ANXA2P3,10,66585284,66586634
PSMB4,1,151372040,151374412
PSMB3,17,36909001,36920478
PSMC3,11,47440319,47448024
SNORD37,19,3982504,3982570
PHEX,X,22050920,22266478
EBI3,19,4229539,4237524
MTERF,7,91502020,91510016
LSM6,4,147096834,147111213
ZBTB25,14,64953554,64970554
FICD,12,108909050,108913380
ARHGAP44,17,12692828,12894960
SUPT7L,2,27873678,27886449
DENND4B,1,153901976,153919154
KIF2B,17,51900238,51902573
FAM159A,1,53099065,53122737
MSANTD1,4,3250766,3258342
LGALS9B,17,20353175,20370848
LOC100505841,5,121495870,121518358
TNKS,8,9413444,9639856
CDK4,12,58141509,58146230
UBQLN4,1,156005091,156023516
SARM1,17,26698986,26728065
SENP3,17,7465308,7475287
TBC1D10B,16,30368421,30381522
RSPH3,6,159398265,159421198
SDC3,1,31342312,31381480
MIR199A1,19,10928101,10928172
MIR198,3,120114514,120114576
MIR3680-1,11,63014620,63321124
MIR190A,15,63116155,63116240
TRPM8,2,234826042,234928166
NOC4L,12,132628992,132636986
SECISBP2,9,91933411,91974561
CCDC167,6,37450696,37467700
CHADL,22,41625513,41636935
CDAN1,15,43015759,43029417
C11orf84,11,63580922,63595190
GLI4,8,144349606,144359101
ZMYND19,9,140476530,140484937
NUS1,6,117996616,118031886
FLJ42627,16,2688982,2696130
LYRM9,17,26205339,26220409
TMEM123,11,102267055,102323775
FHAD1,1,15573767,15724622
SMYD4,17,1682828,1733175
LINC00545,13,31456698,31457532
RAB40B,17,80614942,80656598
STIP1,11,63953586,63972020
IMPAD1,8,57870487,57906430
CHCHD3,7,132469622,132766828
UBE2R2,9,33817181,33920401
CYP2W1,7,1022834,1029276
ZSCAN32,16,3432084,3451025
LOC388499,19,7943516,7945117
GSTT2B,22,24299600,24303368
BOP1,8,145486055,145515120
LTC4S,5,179220985,179223513
ANKS4B,16,21245015,21263750
CRYZL1,21,34961647,35014160
CACNG5,17,64873390,64881395
PSMB11,14,23511375,23513269
MYO5B,18,47349155,47721451
PTGER2,14,52781015,52795322
PTGER1,19,14583277,14586174
ICAM5,19,10400654,10407454
TK1,17,76170159,76183285
LCE6A,1,152815329,152816459
SNORD113-9,14,101411985,101412056
ZNF676,19,22361902,22379753
TSR3,16,1399240,1401873
HAND2,4,174447651,174451378
GRPEL1,4,7061779,7069800
LOC100129534,1,2281852,2284100
TDRD1,10,115939028,115992063
LIPI,21,15481134,15579254
STAC2,17,37366788,37382040
MIER2,19,305574,344791
CNOT11,2,101869344,101886778
HAO1,20,7863630,7921093
POGK,1,166808723,166823709
CRYGS,3,186256231,186262167
DNAH3,16,20944475,21170762
TBX21,17,45810609,45823485
PHLPP1,18,60382671,60647676
TMEM213,7,138482738,138490769
ZNF709,19,12571997,12595632
ZNF579,19,56088890,56092211
C1orf74,1,209955661,209957890
C1orf216,1,36179476,36184790
C11orf65,11,108253726,108338258
USP54,10,75257295,75335433
CT45A2,X,134866213,134874268
FMR1NB,X,147062848,147108187
ZNF645,X,22291029,22292576
RASEF,9,85594499,85678043
AK8,9,135600964,135754198
C9orf163,9,139377946,139380519
ATP6V0D2,8,87111138,87166454
ZNF844,19,12175545,12188626
NID1,1,236139131,236228481
DYNLT3,X,37698088,37706889
SIX6,14,60975937,60978525
B3GNT3,19,17905918,17924385
EIF3H,8,117657054,117768062
EIF3G,19,10225689,10230599
EIF3F,11,8008866,8017719
EIF3D,22,36906896,36925277
TM9SF4,20,30697308,30755061
ZSCAN22,19,58838384,58853712
ZNF283,19,44331472,44353050
BCL6B,17,6926368,6932961
TBC1D8,2,101623689,101767846
TMEM14E,3,152057486,152058779
KHDRBS3,8,136469715,136659848
THY1,11,119288654,119294246
POTEE,2,131975923,132022416
PYDC2,3,191178951,191179245
C17orf96,17,36827958,36831187
BACE1-AS,11,117162061,117162857
PCAT4,4,80748624,80784401
MIR4697HG,11,133766329,133771635
SKI,1,2160133,2241652
RNASEH1,2,3592690,3605940
RNASE3,14,21359561,21360507
ST8SIA1,12,22346324,22487648
RNASE2,14,21423629,21424594
SDPR,2,192699031,192712006
F2RL1,5,76114832,76131140
TPRN,9,140086068,140095163
LIPE,19,42905665,42931578
IGSF22,11,18725851,18747777
ZNF148,3,124944512,125094198
ZNF574,19,42580289,42585720
PARP12,7,139723548,139763521
FAM160B2,8,21946713,21961891
TNS3,7,47314751,47621742
MARC1,1,220960038,220987741
C16orf58,16,31500795,31519740
C1orf173,1,75033794,75139422
SPNS2,17,4402128,4443228
HIST2H3D,1,149784779,149785236
RRM1,11,4115923,4160106
CNTNAP3B,9,43684884,43922473
OR2M5,1,248308449,248309388
DTX4,11,58939811,58976060
NBEAL2,3,47021172,47051194
PRRC2C,1,171454665,171562650
MIR190B,1,154166140,154166219
MIR891B,X,145082570,145082649
MIR450B,X,133674214,133674292
TGM3,20,2276612,2321725
GML,8,143916216,143928262
EGR4,2,73518056,73520829
EGR1,5,137801180,137805004
C1orf112,1,169764549,169822229
OMP,11,76813885,76814377
AQR,15,35148551,35261995
DOCK10,2,225629806,225907330
OR5AC2,3,97806016,97806946
OR6C2,12,55845997,55846936
OR6C3,12,55725484,55726420
C9orf169,9,140119643,140120763
LHFPL3,7,103969103,104549003
LAMC3,9,133884503,133968446
MIR487B,14,101512791,101512875
MIR568,3,114035321,114035416
MIR376A2,14,101506405,101506485
MIR545,X,73506938,73507044
MIR539,14,101513657,101513735
MIR455,9,116971713,116971809
LOC641367,19,21933546,21936240
OR52K1,11,4510108,4511138
OR52I2,11,4608020,4609135
SCGB2B2,19,35084345,35085490
C17orf100,17,6555058,6556617
XKR7,20,30555804,30586256
NMS,2,101086943,101099742
HAVCR1P1,19,24344994,24346249
DKFZp434L192,7,56563915,56564977
PRDM5,4,121615928,121844013
MAML3,4,140637545,141075233
COG1,17,71189172,71204645
SVOP,12,109304657,109458845
TMEM55A,8,92006501,92053203
SNTG1,8,50824596,51705427
FMN2,1,240255184,240638489
SUSD1,9,114803060,114937556
TMEM168,7,112405786,112430478
C5orf28,5,43444353,43483992
GZF1,20,23345020,23353683
ARAP3,5,141032967,141061800
KLHL25,15,86302558,86338189
WBSCR17,7,70597522,71178586
PCDH18,4,138440073,138453629
RHOF,12,122215659,122231594
ANP32A-IT1,15,69096159,69099440
MIB1,18,19321289,19450918
AQP7P3,9,42858151,42893137
ANKRD26P1,16,46503248,46603009
PCA3,9,79379353,79402465
CA5BP1,X,15693038,15721474
PCED1B-AS1,12,47602202,47610226
MGC2752,19,59086765,59095762
KCNQ1DN,11,2891262,2893336
FOXN3-AS2,14,90042559,90043820
NUP88,17,5289345,5323059
EIF3A,10,120794540,120840334
ABCB11,2,169779448,169887833
JPH1,8,75146938,75233562
ASCL3,11,8959118,8964580
NRIP3,11,9002122,9025596
ANKRD7,7,117864711,117882784
STAMBPL1,10,90639943,90683259
USP35,11,77899857,77925757
SIPA1L2,1,232533711,232651243
ZNF319,16,58028572,58033762
C8orf44-SGK3,8,67579786,67774257
MIR892A,X,145078186,145078261
ZDHHC11,5,795719,851101
TRIM64C,11,49075265,49080664
PAH,12,103232103,103311381
TARBP1,1,234527058,234614849
SCGN,6,25652428,25702008
ALDH1B1,9,38392660,38398662
TLR3,4,186990308,187006252
CYP27C1,2,127941411,127963343
FZD2,17,42634811,42638630
FABP5,8,82192717,82197012
FABP1,2,88422507,88427650
HSF2BP,21,44949071,45079374
VSTM5,11,93553734,93583668
LIPT2,11,74202922,74204755
C2orf72,2,231902280,231914427
BTBD18,11,57510985,57519253
KIAA1239,4,37246689,37451087
ZNF814,19,58380746,58400442
NUPR1L,7,56182373,56184090
FAM228B,2,24346349,24392507
PIGU,20,33148345,33265089
SERPINB11,18,61370193,61391122
SERPINB12,18,61223392,61234244
GATA5,20,61038552,61051026
NFE2L1,17,46125685,46138907
LOC440461,17,66194800,66196443
CARD10,22,37886399,37915210
IBTK,6,82879955,82957448
KIAA1244,6,138483052,138665800
COPS7B,2,232651161,232673434
NEUROD6,7,31377074,31380538
ELOVL4,6,80624528,80657315
DGCR14,22,19117791,19132190
UCP1,4,141481049,141489959
FASTKD5,20,3127164,3140532
CCDC90B,11,82972501,82997377
PPCDC,15,75315926,75343067
GSK3A,19,42734337,42746736
HTT,4,3076407,3245687
IDH3A,15,78441718,78462884
HIST3H2BB,1,228645807,228646259
HIST4H4,12,14923653,14924065
KRT74,12,52959602,52967609
STPG2,4,98480024,99064391
ZNF575,19,44037339,44040284
GAS2L3,12,100967488,101018685
CD163L1,12,7507556,7596749
TCERG1L,10,132890654,133109984
PCSK9,1,55505148,55530526
CHDC2,X,36065052,36163187
ANKDD1B,5,74907300,74967671
SMARCA5,4,144434615,144478642
RTF1,15,41709301,41775761
ZBED3-AS1,5,76382622,76444176
NUTM2A-AS1,10,88998423,89102315
LINC00917,16,86365455,86379285
LINC00638,14,105287537,105290055
LINC00689,7,158801044,158818929
CASC8,8,128455594,128494384
LINC00669,18,36786887,37331959
LOC646999,7,39649085,39651687
RINT1,7,105172531,105208124
CHKB,22,51017386,51021428
CRKL,22,21271713,21308037
LRRN4,20,6021191,6034726
MFSD6L,17,8700427,8702667
POM121C,7,75046064,75115568
HDHD2,18,44633780,44676871
MAGT1,X,77081861,77151065
TNFAIP8L2-SCNM1,1,151129104,151142773
ZSCAN21,7,99647416,99662663
SLC5A8,12,101549993,101604016
NFAM1,22,42776413,42828401
ZNF23,16,71481502,71496117
OR4N3P,15,22413461,22414395
FAM150B,2,279560,288308
PTRH1,9,130476226,130477936
PRG1,19,43853207,43853700
LGR4,11,27387507,27494334
RARS2,6,88224095,88299735
MST1,3,49721379,49726196
AGRN,1,955502,991499
IL20,1,207039153,207042568
HEATR5B,2,37208152,37311485
CYP4Z2P,1,47308766,47366147
TUBA3FP,22,21362495,21368576
HSFY1P1,22,17308363,17310225
CDC14C,7,48964156,48967049
LOC541473,7,72440191,72443668
MYO15B,17,73584138,73622927
FRG1B,20,29611878,29634007
KRT3,12,53183468,53189892
CIB3,19,16272178,16284286
DEFB118,20,29956420,29961705
GALNT15,3,16216183,16271253
MRGPRX4,11,18194383,18195827
MRGPRX2,11,19076002,19082228
SLC35G5,8,11188494,11189695
MIA2,14,39703124,39722575
SCGB3A2,5,147258273,147261756
SMKR1,7,129142319,129152773
GNRHR2,1,145509819,145516076
PIPSL,10,95717896,95721672
CCDC39,3,180331795,180397283
LINC00581,6,21486291,21512123
STX7,6,132778662,132834337
ANXA9,1,150954498,150968114
EEA1,12,93166284,93323107
RRP1,21,45209417,45223983
ULK1,12,132379278,132407707
THBS1,15,39873279,39889668
PLA2G10,16,14766404,14788526
KLHL6,3,183205318,183273499
OR5M11,11,56309815,56310733
SP5,2,171571856,171574498
SLC6A19,5,1201709,1225230
KLHL31,6,53512698,53530506
OR8I2,11,55860783,55861716
MAL2,8,120220609,120257914
CSMD1,8,2792874,4852328
NCSTN,1,160313062,160328742
MAU2,19,19431629,19469563
SNORD23,19,48259109,48259219
SNAR-C4,19,48442797,48442917
SNAR-C3,19,48453552,48453671
OR1M1,19,9203920,9204862
OR1J4,9,125281419,125282361
OR1J1,9,125239236,125240205
ANKRD34B,5,79852573,79866304
ITGA11,15,68594041,68724492
NTSR2,2,11798303,11810329
ORAI1,12,122064454,122079946
TNFAIP6,2,152214105,152236562
TMEM160,19,47549166,47551882
FHOD3,18,33877701,34360018
CDH15,16,89238162,89261900
BMPER,7,33944522,34195484
ACTRT2,1,2938045,2939467
PLXNA2,1,208195587,208417665
SPATA3,2,231860838,231871999
MIR1286,22,20236656,20236734
PRSS12,4,119201192,119273922
GALR3,22,38219388,38221502
CILP,15,65488336,65503840
CNPPD1,2,220036618,220041702
TRUB2,9,131071395,131084697
FGF21,19,49259343,49261582
SNAR-G2,19,49534925,49535044
SNAR-G1,19,49540276,49540404
BTBD19,1,45274153,45279801
TMEM233,12,120031263,120079363
DCAF8L2,X,27764925,27766938
ZNF860,3,32023265,32033228
CTXN2,15,48483866,48495951
ZBTB34,9,129622943,129648156
SNORD32A,19,49993222,49993304
SNORD33,19,49993873,49993956
SNORD34,19,49994163,49994229
SNORD35A,19,49994431,49994517
METTL2B,7,128116782,128142978
COPRS,17,30178883,30186326
ADAP2,17,29248753,29286211
DCP1A,3,53317444,53381654
C4orf21,4,113460488,113558151
IL26,12,68595128,68619571
STK32B,4,5053526,5502725
LSG1,3,194361516,194393206
GIMAP5,7,150434435,150440737
RBM5-AS1,3,50137035,50138421
LOC100507066,12,122880088,122884491
LOC100506124,2,166713985,166728451
ZNF625-ZNF20,19,12242167,12267546
LOC100133123,X,13353359,13359944
LOC100652791,8,6693075,6699975
LOC100652770,18,29122108,29136874
LOC100652768,11,117066328,117072630
LOC100507373,19,14247963,14282075
LOC100505806,5,9546311,9550409
HIST1H2APS1,6,25732660,25733089
SNAR-D,19,50643458,50643577
DDTL,22,24309025,24314748
IFIT1B,10,91137812,91144962
SPATS2,12,49760687,49921207
MANEA,6,96025372,96057328
YRDC,1,38268613,38273865
GAL3ST4,7,99756864,99766373
NAA35,9,88556056,88637217
SNAR-F,19,51108219,51108342
DEFB114,6,49928004,49931818
SNORD88B,19,51302285,51302382
SNORD88A,19,51302695,51302792
SNORD88C,19,51305581,51305678
TRNT1,3,3168599,3190706
EHBP1L1,11,65343508,65360116
SRM,1,11114648,11120091
AP4M1,7,99699129,99704803
TEN1,17,73975297,73996667
ACP6,1,147119167,147142634
THEGL,4,57396774,57469489
LRRN4CL,11,62453873,62457371
OR5K4,3,98072697,98073663
C16orf87,16,46835958,46865074
H2AFX,11,118964584,118966177
SMIM2,13,44717286,44735393
IL12B,5,158741790,158757481
IL7R,5,35856976,35879705
MPV17,2,27532359,27545969
MPI,15,75182409,75190565
TLR1,4,38797875,38806412
SEC62,3,169684579,169716161
RHOD,11,66824288,66839488
SPACA3,17,31318881,31324892
TPPP2,14,21498344,21500332
C10orf71,10,50507186,50535537
MIR135B,1,205417429,205417526
HARBI1,11,46624855,46638777
MIR374A,X,73507120,73507192
DNAH7,2,196602426,196933536
CHTF18,16,838621,848074
TMSB15A,X,101768609,101771699
GALNT11,7,151722777,151819427
BMP5,6,55620237,55740375
SLC17A9,20,61583998,61599949
TSSK2,22,19118320,19120136
SNX24,5,122181159,122344902
RANBP9,6,13621729,13711796
MMP9,20,44637546,44645200
KLHL24,3,183353410,183402304
ZNF770,15,35270541,35280497
RIMBP3,22,20455993,20461786
RFXAP,13,37393338,37403740
KIAA0368,9,114122972,114247025
GLB1L3,11,134146274,134189458
GCG,2,162999378,163008914
DNAH6,2,84743578,85046713
APOBEC3A_B,22,39353526,39388783
MORC1,3,108677086,108836993
OR6K3,1,158686957,158687905
MIR4642,6,44403377,44403459
MIR4636,5,9053927,9054007
MIR4635,5,1063010,1063089
MIR4634,5,174178736,174178790
MIR4633,5,128433380,128433459
MIR3978,X,109325345,109325446
MIR3977,5,82135973,82136043
MIR3976,18,5840693,5840832
MIR3975,18,33171700,33171770
MIR3974,12,17826232,17826328
MIR3973,11,36031647,36031754
MIR4540,9,36864250,36864305
MIR548AN,13,99868261,100058554
MIR4535,22,49176106,49176165
MIR4638,5,180649565,180649633
SREK1IP1,5,64013977,64064496
COX18,4,73920415,73935472
RABL3,3,120405527,120461384
C3orf38,3,88198892,88207115
FAM126B,2,201838440,201936392
CXXC11,2,242811885,242815482
IL13RA2,X,114238537,114252207
VTN,17,26694298,26697373
SAG,2,234216308,234255701
POU3F3,2,105471968,105473471
GABRD,1,1950767,1962192
GRM6,5,178405329,178422124
ITGB8,7,20370724,20455382
GUCY2C,12,14765567,14849519
LRRCC1,8,86019322,86058314
LOC388553,19,46242887,46262748
RNF133,7,122337765,122339208
TMEM190,19,55888203,55889612
STARD6,18,51851061,51880943
TRUB1,10,116697951,116737439
KISS1R,19,917341,921015
LINC00523,14,101123604,101139081
HOXB-AS5,17,46800541,46802119
LINC00515,21,26955086,26955536
C21orf54,21,34537775,34542541
ZFP91-CNTF,11,58346586,58393205
DLGAP1-AS1,18,3594111,3597377
LINC00320,21,22114912,22175426
LINC00323,21,42513426,42519991
LINC00162,21,46419126,46424642
LINC00471,2,232373136,232379050
WASH2P,2,114341229,114356613
CXADRP3,18,14477953,14498705
EMR4P,19,6952510,6990857
GOLGA8I,15,23255241,23262743
CLRN1-AS1,3,150690464,150797617
ZSCAN12P1,6,28058584,28063493
UBE2DNL,X,84189156,84189896
LOH12CR2,12,12508341,12510001
MIMT1,19,57352269,57359922
FAM27A,9,45727028,45728283
CASP14,19,15160290,15169103
GLCE,15,69452972,69564544
ZBTB7A,19,4045215,4066816
PIAS4,19,4007748,4038067
LAP3,4,17578926,17609590
ZMYND10,3,50378536,50383156
ABHD5,3,43732374,43764217
HUS1B,6,655938,656964
LOC100129034,9,127115751,127121463
TRPV2,17,16318855,16340317
PRUNE2,9,79226291,79521003
SAMHD1,20,35520226,35580246
NUP188,9,131709971,131769375
ROPN1,3,123687878,123710199
CPT2,1,53662100,53679869
PTN,7,136912091,137028546
PTMS,12,6875540,6880118
MICALCL,11,12308446,12380691
TNS4,17,38632079,38657854
PRPF38A,1,52870218,52883992
ABHD13,13,108870762,108886603
LTV1,6,144164507,144184943
MAEL,1,166958518,166991447
WDR73,15,85186011,85197521
NOG,17,54671059,54672951
RNF103-CHMP3,2,86730552,86948245
MTR,1,236958580,237067281
GSTM5,1,110254863,110260890
RPS10P7,1,201489031,201489720
SNORA80B,2,10586839,10586975
TMEM202,15,72690667,72700708
UNCX,7,1272653,1276613
LRRIQ4,3,169539709,169555560
EVX2,2,176944834,176948690
OST4,2,27293341,27294567
ANHX,12,133794897,133812422
HPDL,1,45792544,45794346
CLEC2L,7,139208673,139229731
TBX18,6,85442215,85473954
ZCCHC13,X,73524024,73524869
SLC35D3,6,137243401,137246776
LOC101805491,2,46656328,46668972
RALB,2,121010413,121052286
SERPINF1,17,1665258,1680859
RBP3,10,48381486,48390991
SRY,Y,2654895,2655782
RPL10A,6,35436177,35438558
NPM3,10,103541081,103543170
BEX1,X,102317580,102319168
RNF130,5,179382473,179499109
ZC3H15,2,187350884,187374087
TEX2,17,62224794,62340653
TRIB1,8,126442562,126450644
MED28,4,17616272,17626160
TRABD,22,50624359,50638027
ITPKC,19,41223007,41246765
XRN2,20,21283941,21370463
LOC654841,2,228085767,228189880
IGFL3,19,46623327,46627931
C1orf229,1,247273461,247275719
TNFAIP8L3,15,51348798,51397473
TMEM179,14,105060419,105071097
C15orf52,15,40623652,40633168
TOMM20L,14,58862643,58875419
OR10W1,11,58034263,58035732
C10orf99,10,85933553,85945050
SKIDA1,10,21802408,21814611
GPR153,1,6307405,6321035
SEPT14,7,55861236,55930482
AADACL2,3,151451703,151475556
KIAA1211L,2,99410308,99552684
FREM2,13,39261172,39461267
ZC3H12D,6,149768765,149806148
GADL1,3,30767691,30936153
C1orf174,1,3805696,3816857
GPLD1,6,24426061,24489850
STAT5A,17,40439564,40463960
KCNK6,19,38810483,38819649
HAND1,5,153854531,153857824
CYP7B1,8,65508528,65711348
SYMPK,19,46318699,46366548
TUBA3C,13,19747909,19755992
ACAT2,6,160182988,160200087
KATNB1,16,57769659,57791162
APC2,19,1450147,1473243
DNAJA2,16,46989273,47007625
TRAIP,3,49866027,49893992
EIF1B,3,40351172,40353915
BCAS2,1,115110180,115124265
RNF125,18,29598444,29653154
C1GALT1,7,7222245,7288280
KHNYN,14,24899140,24910547
RRP8,11,6621143,6624880
UFL1,6,96969701,97003151
CLSTN3,12,7282966,7311530
ANGEL1,14,77253585,77279283
BEND6,6,56819772,56892142
TBC1D32,6,121400626,121655644
NT5DC1,6,116421998,116566853
CPNE2,16,57126454,57181878
MICU2,13,22066827,22178355
CCDC89,11,85394892,85397320
HEPACAM,11,124789145,124806308
DOK6,18,67068283,67516322
FTH1P3,2,27615489,27616443
LINC00322,21,44742088,44751919
SBK1,16,28303839,28335170
GPC4,X,132435063,132549205
ADAM11,17,42836567,42859214
SNORD1C,17,74554873,74554951
SNORD1B,17,74557189,74557275
SNORD1A,17,74557714,74557788
SNORD105,19,10218326,10218411
JPX,X,73164158,73290217
SNORD92,2,29136527,29136616
RPE65,1,68894506,68915642
ROM1,11,62380212,62382592
SAA2-SAA4,11,18252901,18270221
HSPA5,9,127997126,128003666
COL17A1,10,105791045,105845638
MIR20A,13,92003318,92003389
ERVV-2,19,53547990,53554380
BPIFC,22,32809833,32853373
GOLGA6L10,15,82632349,82641706
N6AMT2,13,21303072,21348057
SPATA19,11,133710516,133715392
MAFK,7,1570367,1582679
TRIM6-TRIM34,11,5617864,5665625
PRR21,2,240981229,240982399
PRAMEF12,1,12834983,12838048
TRNP1,1,27320194,27327377
GNAT3,7,80087986,80141242
CPS1-IT1,2,211482294,211484599
SNORD50A,6,86387011,86387086
BRD7P3,6,118822535,118824996
CELA2A,1,15783222,15798586
DPH1,17,1933430,1946725
DPAGT1,11,118967212,118972785
MAGOH,1,53692563,53704282
MAGEB2,X,30233674,30238206
GCM1,6,52991759,53013624
IFITM1,11,313990,315272
IKBKAP,9,111629799,111696608
THBS2,6,169615874,169654137
SLC24A3,20,19193289,19703541
EFCAB12,3,129120163,129147494
LOC149373,1,231319844,231323373
RNASEH2C,11,65485143,65488409
CBR3,21,37507262,37518860
GIGYF1,7,100277129,100286870
PADI6,1,17698740,17728195
TLR8-AS1,X,12920935,12961419
MIRLET7C,21,17912147,17912231
DDX26B,X,134654554,134716460
PGLYRP2,19,15579456,15590315
PRORSD1P,2,55509454,55511607
ADAM17,2,9629410,9695917
SLC7A5,16,87863628,87903100
HIST1H2AE,6,26217147,26217711
DCK,4,71859264,71896629
FUT9,6,96463844,96663488
EBP,X,48380163,48387104
CLDN16,3,190105660,190129932
ASPG,14,104552022,104579046
ADAMTS4,1,161159537,161168845
GFPT2,5,179727699,179780315
C4orf36,4,87797357,87813575
SPATA4,4,177105724,177116822
LOC653486,11,193079,194500
SNORA70B,2,61644378,61644512
ASB15,7,123249111,123277932
MIR493,14,101335396,101335485
MIR3151,8,104166841,104166917
DDX46,5,134094460,134166812
ZBTB39,12,57392616,57400297
ZC3H11A,1,203764750,203823256
CPLX3,15,75118950,75124136
BRWD1-IT2,21,40685860,40686888
OR5B12,11,58206592,58207646
OR5AU1,14,21623095,21624184
SOHLH2,13,36742344,36788752
NEFH,22,29876180,29887277
NDUFV2,18,9102627,9134343
NR0B2,1,27237974,27240567
HEATR6,17,58120551,58156292
PRND,20,4702555,4709106
PITPNB,22,28247656,28315255
SNORA36C,2,69747176,69747303
LOC729603,6,160514113,160517244
KRT10,17,38974368,38978863
LOC100289230,5,98264837,98266713
LOC388813,21,15964483,16015428
DRAXIN,1,11751780,11780336
SIGLEC14,19,52145805,52150132
CD300LD,17,72576110,72588370
SLC15A4,12,129277738,129308541
PLK5,19,1524072,1535455
KRTAP9-1,17,39346138,39346891
CDO1,5,115140429,115152405
C3orf22,3,126268518,126277758
XXYLT1,3,194789012,194991895
SLC16A14,2,230899689,230933715
THOC2,X,122734411,122866904
SPAG11A,8,7705401,7721319
NS3BP,11,779453,780755
SLC45A1,1,8384389,8404227
FAM155A,13,107820878,108519460
FAM157A,3,197879236,197907728
STMND1,6,17102488,17131603
KLRF2,12,10034087,10048432
TMEM238,19,55890611,55895627
ISY1-RAB43,3,128806411,128880073
RRAGA,9,19049371,19051021
MRC2,17,60704761,60770962
GTDC2,3,43120720,43147575
ZSCAN10,16,3138894,3142861
MAGEB4,X,30260056,30262308
LCP2,5,169675087,169724822
S1PR3,9,91606323,91620069
E2F1,20,32263291,32274210
ENTHD2,17,79202076,79212891
LINC00559,13,90712500,90771971
NRG1-IT3,8,32298261,32300241
PPP2R2B-IT1,5,146293769,146299069
LINC00424,13,22446934,22452299
ZNRF3-AS1,22,29420986,29427464
SMIM2-IT1,13,44720605,44732358
TMEM114,16,8619501,8622226
NHLRC1,6,18120717,18122851
CA13,8,86157715,86196302
KLHL30,2,239047362,239061547
ZC3H6,2,113033177,113097640
MIR3156-1,10,45659461,45659536
